Names,Ratings,
atiziod,1,
adamine,1,
onikemis,1,
evexion,1,
okamiod,1,
erojion,1,
ebogoron,1,
acuzlen,1,
ugetelle,1,
aseveon,1,
azenet,1,
akronine,1,
baxdakis,1,
garutrax,1,
gashitron,1,
iqadikis,1,
kirkwat,1,
liqark,1,
qidac,1,
raxiod,1,
sevuser,1,
trakus,1,
uposan,1,
vaqestek,1,
xyquis,1,
zecdas,1,
acoustium,0,
adamant,0,
adamantite,0,
adamantium,0,
afraidium,0,
agreicite,0,
alkahest,0,
allanite,0,
amazounium,0,
andrium,0,
atmosphereum,0,
australium,0,
axonite,0,
balthazate,0,
balthorium,0,
basidiumite,0,
bassnium,0,
bathus,0,
bazoolium,0,
beerium,0,
azenet,1,
berthus,0,
deotheg,0,
ekadeus,0,
furtenvak,0,
garutrax,0,
hopamgus,0,
iqadikis,1,
jopecot,0,
kirkwat,1,
liqark,1,
monquis,0,
noterus,0,
operhound,0,
pertusok,0,
qidac,1,
raxiod,1,
sevuser,0,
trakus,1,
uposan,0,
vaqestek,0,
wesaprek,0,
xyquis,1,
yartoid,0,
zecdas,1,
akronine,1,
baxdakis,1,
ceperiod,0,
coperquad,1, 
dapothan,0,
equantis,1,
gashitron,0